audio_type,duration,sample_id,transcription,is_hallucination,is_looping,boh_matches,char_count
silence,1,0,Thank you.,True,False,"['thank you', 'you']",10
silence,1,1,Thank you.,True,False,"['thank you', 'you']",10
silence,1,2,Thank you.,True,False,"['thank you', 'you']",10
silence,1,3,Thank you.,True,False,"['thank you', 'you']",10
silence,1,4,Thank you.,True,False,"['thank you', 'you']",10
silence,5,0,Thank you.,True,False,"['thank you', 'you']",10
silence,5,1,Thank you.,True,False,"['thank you', 'you']",10
silence,5,2,Thank you.,True,False,"['thank you', 'you']",10
silence,5,3,Thank you.,True,False,"['thank you', 'you']",10
silence,5,4,Thank you.,True,False,"['thank you', 'you']",10
silence,10,0,Thank you.,True,False,"['thank you', 'you']",10
silence,10,1,Thank you.,True,False,"['thank you', 'you']",10
silence,10,2,Thank you.,True,False,"['thank you', 'you']",10
silence,10,3,Thank you.,True,False,"['thank you', 'you']",10
silence,10,4,Thank you.,True,False,"['thank you', 'you']",10
silence,20,0,Thank you.,True,False,"['thank you', 'you']",10
silence,20,1,Thank you.,True,False,"['thank you', 'you']",10
silence,20,2,Thank you.,True,False,"['thank you', 'you']",10
silence,20,3,Thank you.,True,False,"['thank you', 'you']",10
silence,20,4,Thank you.,True,False,"['thank you', 'you']",10
silence,30,0,you,True,False,['you'],3
silence,30,1,you,True,False,['you'],3
silence,30,2,you,True,False,['you'],3
silence,30,3,you,True,False,['you'],3
silence,30,4,you,True,False,['you'],3
white_noise,1,0,Thank you.,True,False,"['thank you', 'you']",10
white_noise,1,1,Thank you.,True,False,"['thank you', 'you']",10
white_noise,1,2,Thank you.,True,False,"['thank you', 'you']",10
white_noise,5,0,Thank you.,True,False,"['thank you', 'you']",10
white_noise,5,1,Thank you.,True,False,"['thank you', 'you']",10
white_noise,5,2,Thank you.,True,False,"['thank you', 'you']",10
white_noise,10,0,Thank you.,True,False,"['thank you', 'you']",10
white_noise,10,1,Thank you.,True,False,"['thank you', 'you']",10
white_noise,10,2,Thank you.,True,False,"['thank you', 'you']",10
white_noise,20,0,Thank you.,True,False,"['thank you', 'you']",10
white_noise,20,1,Thank you.,True,False,"['thank you', 'you']",10
white_noise,20,2,Thank you.,True,False,"['thank you', 'you']",10
white_noise,30,0,Thank you.,True,False,"['thank you', 'you']",10
white_noise,30,1,Thank you.,True,False,"['thank you', 'you']",10
white_noise,30,2,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,1,0,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,1,1,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,1,2,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,5,0,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,5,1,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,5,2,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,10,0,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,10,1,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,10,2,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,20,0,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,20,1,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,20,2,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,30,0,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,30,1,Thank you.,True,False,"['thank you', 'you']",10
pink_noise,30,2,Thank you.,True,False,"['thank you', 'you']",10
